127.0.0.1, 2014-01-05 19:15:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000478
127.0.0.1, 2014-01-05 19:15:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2014-01-05 19:15:24, POST, /admin/default/edit/processos/controllers/appadmin.py, HTTP/1.1, 200, 0.070284
127.0.0.1, 2014-01-05 19:15:26, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.137335
127.0.0.1, 2014-01-05 19:15:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
127.0.0.1, 2014-01-05 19:15:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
127.0.0.1, 2014-01-05 19:15:48, GET, /admin/default/edit/processos/controllers/default.py, HTTP/1.1, 200, 0.135551
127.0.0.1, 2014-01-05 19:15:49, GET, /admin/default/edit/processos/controllers/default.py, HTTP/1.1, 200, 0.069744
127.0.0.1, 2014-01-05 19:15:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.032822
127.0.0.1, 2014-01-05 19:15:49, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.076356
127.0.0.1, 2014-01-05 19:15:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.172219
127.0.0.1, 2014-01-05 19:15:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.139678
127.0.0.1, 2014-01-05 19:15:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2014-01-05 19:15:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2014-01-05 19:16:02, POST, /admin/default/edit/processos/controllers/default.py, HTTP/1.1, 200, 0.093237
127.0.0.1, 2014-01-05 19:16:09, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.185828
127.0.0.1, 2014-01-05 19:16:10, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000576
127.0.0.1, 2014-01-05 19:16:10, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000308
127.0.0.1, 2014-01-05 19:16:10, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000763
127.0.0.1, 2014-01-05 19:16:10, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000458
127.0.0.1, 2014-01-05 19:16:10, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000549
127.0.0.1, 2014-01-05 19:16:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000376
127.0.0.1, 2014-01-05 19:16:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2014-01-05 19:18:34, GET, /admin/default/peek/processos/modules/__init__.py, HTTP/1.1, 200, 0.140365
127.0.0.1, 2014-01-05 19:18:34, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000527
127.0.0.1, 2014-01-05 19:18:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000391
127.0.0.1, 2014-01-05 19:18:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2014-01-05 19:18:37, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.186236
127.0.0.1, 2014-01-05 19:18:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2014-01-05 19:18:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2014-01-05 19:18:51, POST, /admin/default/create_file, HTTP/1.1, 303, 0.052529
127.0.0.1, 2014-01-05 19:18:51, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.089402
127.0.0.1, 2014-01-05 19:18:52, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.002007
127.0.0.1, 2014-01-05 19:18:52, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.001180
127.0.0.1, 2014-01-05 19:18:52, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000966
127.0.0.1, 2014-01-05 19:18:52, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.003184
127.0.0.1, 2014-01-05 19:18:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000376
127.0.0.1, 2014-01-05 19:18:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2014-01-05 19:18:54, GET, /admin/default/edit/processos/models/tj.py, HTTP/1.1, 200, 0.095795
127.0.0.1, 2014-01-05 19:18:54, GET, /admin/default/edit/processos/models/tj.py, HTTP/1.1, 200, 0.052986
127.0.0.1, 2014-01-05 19:18:54, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.045482
127.0.0.1, 2014-01-05 19:18:54, GET, /admin/static/images/save_icon.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-01-05 19:18:54, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.093075
127.0.0.1, 2014-01-05 19:18:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.146333
127.0.0.1, 2014-01-05 19:18:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.089817
127.0.0.1, 2014-01-05 19:18:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2014-01-05 19:18:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000264
127.0.0.1, 2014-01-05 19:19:00, POST, /admin/default/edit/processos/models/tj.py, HTTP/1.1, 200, 0.079612
127.0.0.1, 2014-01-05 19:19:05, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.102413
127.0.0.1, 2014-01-05 19:19:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
127.0.0.1, 2014-01-05 19:19:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2014-01-05 19:19:21, GET, /admin/default/edit/processos/controllers/default.py, HTTP/1.1, 200, 0.131784
127.0.0.1, 2014-01-05 19:19:21, GET, /admin/default/edit/processos/controllers/default.py, HTTP/1.1, 200, 0.155389
127.0.0.1, 2014-01-05 19:19:21, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.102037
127.0.0.1, 2014-01-05 19:19:21, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.152049
127.0.0.1, 2014-01-05 19:19:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.327237
127.0.0.1, 2014-01-05 19:19:21, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.247189
127.0.0.1, 2014-01-05 19:19:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
